bin,timestamp_index,bin_death_index,pageid,timestamp,views,views_adjusted,share
74,520,63,265030,20210604,25370,26243,0.00001511
75,527,64,265030,20210611,25053,26407,0.00001520
76,534,65,265030,20210618,22773,24426,0.00001408
77,541,66,265030,20210625,30587,32152,0.00001857
78,548,67,265030,20210702,27577,27535,0.00001582
79,555,68,265030,20210709,28065,28824,0.00001662
80,562,69,265030,20210716,24703,25820,0.00001486
81,569,70,265030,20210723,23922,24066,0.00001384
82,576,71,265030,20210730,24762,25182,0.00001452
83,583,72,265030,20210806,22565,22920,0.00001325
84,590,73,265030,20210813,23577,24347,0.00001401
85,597,74,265030,20210820,34180,35268,0.00002038
86,604,75,265030,20210827,22606,23493,0.00001354
87,611,76,265030,20210903,23859,25011,0.00001436
88,618,77,265030,20210910,20103,20950,0.00001207
89,625,78,265030,20210917,28226,29977,0.00001721
90,632,79,265030,20210924,264593,289837,0.00016246
91,639,80,265030,20211001,29339,31527,0.00001815
92,646,81,265030,20211008,26076,28001,0.00001614
93,653,82,265030,20211015,24874,26669,0.00001538
94,660,83,265030,20211022,21414,22873,0.00001317
95,667,84,265030,20211029,22184,23882,0.00001374
96,674,85,265030,20211105,20198,22307,0.00001283
97,681,86,265030,20211112,21662,23782,0.00001369
98,688,87,265030,20211119,36591,41454,0.00002367
99,695,88,265030,20211126,25574,28498,0.00001639
100,702,89,265030,20211203,25282,28273,0.00001626
101,709,90,265030,20211210,20847,23425,0.00001350
102,716,91,265030,20211217,21909,25637,0.00001476
103,723,92,265030,20211224,187281,210420,0.00011767
0,0,-13,1493272,20200101,2577,2367,0.00000136
1,7,-12,1493272,20200108,2567,2380,0.00000137
2,14,-11,1493272,20200115,2194,2049,0.00000118
3,21,-10,1493272,20200122,1878,1735,0.00000100
4,28,-9,1493272,20200129,3083,2925,0.00000170
5,35,-8,1493272,20200205,2404,2226,0.00000128
6,42,-7,1493272,20200212,2614,2453,0.00000142
7,49,-6,1493272,20200219,2300,2195,0.00000126
8,56,-5,1493272,20200226,2117,2038,0.00000117
9,63,-4,1493272,20200304,1991,1954,0.00000113
10,70,-3,1493272,20200311,2228,2288,0.00000132
11,77,-2,1493272,20200318,2335,2204,0.00000128
12,84,-1,1493272,20200325,20914,17746,0.00001030
13,91,0,1493272,20200401,837142,680944,0.00038655
14,98,1,1493272,20200408,73300,57142,0.00003287
15,105,2,1493272,20200415,42486,34388,0.00001975
16,112,3,1493272,20200422,61478,49283,0.00002845
17,119,4,1493272,20200429,22375,19097,0.00001105
18,126,5,1493272,20200506,18295,16398,0.00000945
19,133,6,1493272,20200513,16092,14807,0.00000853
20,140,7,1493272,20200520,15923,15218,0.00000878
21,147,8,1493272,20200527,14685,14536,0.00000846
22,154,9,1493272,20200603,10007,9922,0.00000572
23,161,10,1493272,20200610,11283,11448,0.00000658
24,168,11,1493272,20200617,12007,12343,0.00000712
25,175,12,1493272,20200624,10894,11430,0.00000659
26,182,13,1493272,20200701,10797,11135,0.00000642
27,189,14,1493272,20200708,10858,11126,0.00000642
28,196,15,1493272,20200715,10125,10316,0.00000595
29,203,16,1493272,20200722,10548,10838,0.00000624
30,210,17,1493272,20200729,12074,12928,0.00000741
31,217,18,1493272,20200805,9747,10360,0.00000596
32,224,19,1493272,20200812,9511,9807,0.00000565
33,231,20,1493272,20200819,9105,9308,0.00000537
34,238,21,1493272,20200826,10221,10467,0.00000604
35,245,22,1493272,20200902,9274,9756,0.00000562
36,252,23,1493272,20200909,8255,8548,0.00000492
37,259,24,1493272,20200916,11480,11818,0.00000685
38,266,25,1493272,20200923,8327,8588,0.00000494
39,273,26,1493272,20200930,9638,9978,0.00000574
40,280,27,1493272,20201007,8693,8499,0.00000490
41,287,28,1493272,20201014,8176,7987,0.00000461
42,294,29,1493272,20201021,7432,7237,0.00000417
43,301,30,1493272,20201028,8756,8539,0.00000491
44,308,31,1493272,20201104,8760,7841,0.00000452
45,315,32,1493272,20201111,12208,11388,0.00000658
46,322,33,1493272,20201118,18341,17314,0.00000996
47,329,34,1493272,20201125,11291,10853,0.00000625
48,336,35,1493272,20201202,10493,10292,0.00000594
49,343,36,1493272,20201209,11412,11312,0.00000650
50,350,37,1493272,20201216,9460,9776,0.00000563
51,357,38,1493272,20201223,13011,13019,0.00000753
52,364,39,1493272,20201230,19865,18979,0.00001083
53,371,40,1493272,20210106,9459,8818,0.00000509
54,378,41,1493272,20210113,9333,8814,0.00000508
55,385,42,1493272,20210120,8979,8330,0.00000480
56,392,43,1493272,20210127,8707,8299,0.00000479
57,399,44,1493272,20210203,8834,8455,0.00000486
58,406,45,1493272,20210210,9107,8791,0.00000507
59,413,46,1493272,20210217,8435,8000,0.00000461
60,420,47,1493272,20210224,8865,8226,0.00000474
61,427,48,1493272,20210303,9574,9017,0.00000519
62,434,49,1493272,20210310,13041,12152,0.00000709
63,441,50,1493272,20210317,8307,8011,0.00000461
64,448,51,1493272,20210324,10781,10443,0.00000599
65,455,52,1493272,20210331,13774,13626,0.00000776
66,462,53,1493272,20210407,9784,9332,0.00000538
67,469,54,1493272,20210414,13709,13453,0.00000772
68,476,55,1493272,20210421,21007,20078,0.00001179
69,483,56,1493272,20210428,12183,12061,0.00000692
70,490,57,1493272,20210505,13095,12997,0.00000747
71,497,58,1493272,20210512,12542,12339,0.00000710
72,504,59,1493272,20210519,13809,13543,0.00000782
73,511,60,1493272,20210526,10172,10138,0.00000584
74,518,61,1493272,20210602,7392,7541,0.00000435
75,525,62,1493272,20210609,6818,7150,0.00000412
76,532,63,1493272,20210616,7575,8090,0.00000466
77,539,64,1493272,20210623,6522,6982,0.00000402
78,546,65,1493272,20210630,8068,8157,0.00000468
79,553,66,1493272,20210707,6604,6678,0.00000384
80,560,67,1493272,20210714,6842,7189,0.00000414
81,567,68,1493272,20210721,7846,7924,0.00000457
82,574,69,1493272,20210728,7504,7596,0.00000438
83,581,70,1493272,20210804,6762,6838,0.00000394
84,588,71,1493272,20210811,6723,6987,0.00000402
85,595,72,1493272,20210818,6766,6963,0.00000401
86,602,73,1493272,20210825,6565,6797,0.00000392
87,609,74,1493272,20210901,7496,7858,0.00000453
88,616,75,1493272,20210908,8196,8530,0.00000491
89,623,76,1493272,20210915,9128,9645,0.00000555
90,630,77,1493272,20210922,9356,9936,0.00000573
91,637,78,1493272,20210929,10556,11319,0.00000652
92,644,79,1493272,20211006,14065,15163,0.00000869
93,651,80,1493272,20211013,7837,8411,0.00000485
94,658,81,1493272,20211020,7126,7645,0.00000440
95,665,82,1493272,20211027,7333,7831,0.00000451
96,672,83,1493272,20211103,6927,7625,0.00000438
97,679,84,1493272,20211110,6369,7005,0.00000403
98,686,85,1493272,20211117,7983,8878,0.00000512
99,693,86,1493272,20211124,7356,8216,0.00000472
100,700,87,1493272,20211201,5884,6614,0.00000381
101,707,88,1493272,20211208,10286,11435,0.00000659
102,714,89,1493272,20211215,7811,9065,0.00000522
103,721,90,1493272,20211222,7205,8107,0.00000467
0,6,-13,292822,20200107,7682,7106,0.00000409
1,13,-12,292822,20200114,8488,7943,0.00000456
2,20,-11,292822,20200121,37805,32774,0.00002013
3,27,-10,292822,20200128,14953,14180,0.00000820
4,34,-9,292822,20200204,8915,8294,0.00000477
5,41,-8,292822,20200211,8607,8134,0.00000468
6,48,-7,292822,20200218,8022,7633,0.00000439
7,55,-6,292822,20200225,7342,7074,0.00000407
8,62,-5,292822,20200303,7532,7387,0.00000425
9,69,-4,292822,20200310,6408,6522,0.00000376
10,76,-3,292822,20200317,8180,7914,0.00000457
11,83,-2,292822,20200324,449999,369798,0.00022408
12,90,-1,292822,20200331,236477,194218,0.00010967
13,97,0,292822,20200407,1436898,1148784,0.00064576
14,104,1,292822,20200414,154955,124680,0.00007205
15,111,2,292822,20200421,70675,57055,0.00003275
16,118,3,292822,20200428,41929,35459,0.00002040
